name,class,id,text,text2
Bard,profession,Q215144,careers depending on who promised to pay the most #Music# a passing caravan of a bard would have been a sight to behold armed retainers luxuries from across the known world,
Bard,machine learning,Q116698014,but this was the first prompt where I saw a real difference emerging between Bard and Bing powered by gpt4 it was a dividing line that would get stronger,
Transformers,franchise,Q1323565,a cyber verse Grimlock very cool Citadel so we have we have the bumblebee movie transformer and then we also have the stereo series Optimus Prime pretty cool now usually,
Transformers,machine learning,Q85810444,characters like this are given some context of characters in the past the Transformer neural network will look at the characters that I've highlighted and is going,
Transformers,electrical,Q11658,there but it says right on the website compatible with any 8 to 24v AC Transformer and I made sure to read through the installation instructions there's no warning about,
Cheat,gaming,Q264609,,
Cheating,action,Q19,,
Cheating,relationship,Q2914621,,
Cheating,gaming,Q2514214,,
Cheating,education,Q1348417,,
alien,franchise,Q1990792,i'm watching we're killing aliens have you not ever seen the alien series movies there's alien alien 2 3 resurrection there's all sorts of them there's tons of,
alien,lifeform,Q16132073,they already have no one knows what to expect if we encountered other forms of alien life would they talk like us look like us or would they be completely,
alien,immigration,Q473741,or information to vet them additionally DHS has no way to determine if an alien has a criminal history in his home country unless that country reports the,
Hitman,profession,Q19308,for example right in 1991 proud mother wanda holloway of texas tried to hire a hitman to kill the mother of one of the girls in the local high school,
hitman,game,Q19308,well as recontextualized the way you may look at previously established was at its core hitman 2 is still the ultimate power of fantasy with so many options at your disposal,
two worlds two,game,Q932788,guys guys do you like RPGs because two worlds two is actually playable yes finally #FUCK# finally I have been waiting forever for this game,
malicious compliance,behaviour,Q16963544,I right I'm such a stickler for the rules after that event my malicious compliance was rewarded with a call from the local post office explaining that I would,
beanie,clothing,Q265157,know it's super duper cute and and then we have like the the cat beanie on top and it's just me pouting it's so cute and this is,
beanie boo,toy,Q55148401,don't know what that is it's basically where you grab all your beanie boos from a specific color so like for example red and you pick out,
baked,intoxication,Q865968,Joe Leo Lee I'm here in Washington State and we're about to get baked in this video a little bong hit out of the transformer to or smoke a,
baking,activity,Q720398,so let's get the oven preheated to 350 because we are going to be baking so many cookies today I'm going to get both ovens preheating so that,
baking soda,material,Q179731,acid and temporarily alleviate heartburn caused by acid reflux number two you can use baking soda in the deodorant if you're looking for deodorant that doesn't include any,
baked potato,dish,Q1193251,we're starting off with the roasted category number one starting off with a classic baked potato it's very simple rub a large rusted potato with oil maybe not like,
Wan show,show,Q107789646,,
Credit,finance,Q182076,a good idea I thought it was going to build my credit because I was working really hard to get my credit up to 700 and then now I've completely tanked,
Credit,attribution,Q2901790,to be voted out for seemingly doing nothing and Republicans to move in and take credit for it but what about our Precious Precious earmarks shriek the people of Minneapolis aka,
Swift,singer,Q26876,,
Swift,computer science,Q17118377,,
Swift,finance,Q257597,,
Python,animal,Q271218,,
Python,computer science,Q28865,,
Ajax,computer science,Q134471,,
Ajax,history,Q242319,,
OOP,computer science,Q79872,,
Infinity fabric,lithography,Q58867016,,
fabric,material,Q28823;Q5849500,,
Metadata,computer science,Q180160,,
Reservation,agreement,Q7673285;Q64883416,,
Taylor,profession,Q242468,,
Doctor,character,Q34358,,
doc,software,Q686498,,
mercy,act,Q336392,and also let's not forget you're at the mercy of the audience unlike on Twitch wait you're at the mercy of the audience on YouTube no I I I,
mercy,character,Q28592386,about this game so I know that you have three of the characters from OverWatch you have mercy Genji and Hanzo okay Hanzo I believe is Cupid okay and so we might,
unicorn,business,Q20983877,,
unicorn,creature,Q7246,,
Skirt,clothing,Q2160801,,
Skirt,vehicle,Q18353865,,
Dandelion,character,Q1147484,,
Dandelion,plant,Q131219,,
Robinhood,character,Q122634,,
Robinhood,business,Q18155123,,
Blender,software,Q173136,only difference is that for the Baseline entry at 15 8 minutes render time for blender we launched from idle and we had staff on so it was stock Behavior with,over everything you need to know to start using this brand new version of blender blender 2 8 which just came out this morning if you're brand new to
Blender,appliance,Q501862,come want taste M yummy smell and banana okay put in the blender don't be scared it's going to make a noise yeah yeah be,
op,role,Q11120075,,
op,media,Q55418044,,
Nugget,shape,,,
Nugget,food,,,
trump,card,,,
trump,president,,,
Jeopardy,show,,,
Jeopardy,situation,,,
squash,game,Q133201,,
squash ,food,Q5339301,,
The game,game,Q457500,,
diablo four,game,Q73154387,,
vs code,software,Q19841877,,
apple watch,device,,,
saw,tool,,,
Saw,movie,,,
Particles,,,,
Particles,,,,
Factorio,game,,,
ide,software,,,
Revenge,,,,
Mayhem,legal,Q4389131,,
Mayhem,band,,,
Bevy,software,Q103819131,,
Bldc,engine,,,
Dc engine,engine,,,
fan,device,Q6498398,,
fan,hardware,Q3182696,,
fan,group,Q193432,,
wd forty,material,Q898762,,
pool,game,Q11020,Crystal mixes all the Q Sports one of the few well maybe the only pool player traditional pool player honey to be on the World Snooker tour for a couple of,
pool,location,Q1501,this man noticed a baby deer walking in his backyard as it was getting too close to the pool's Edge it slipped and fell into the pool and it couldn't escape on its own so he let his son take the lead in the rescue mission the boy tried to grab the deer but it was scared and started swimming,
Warhammer,weapon,,,
Warhammer,franchise,,,
crisis,situation,,,
crisis,game,,,
crisis,economy,,,
reflection,otpics,,,
reflection ,psychology,,,
nut,hardware,Q190977,seized,
nut,food,Q11009,,
apple,food,,,
apple,company,,,
Strap,,,,
arms,military,Q728,,
arm,company,Q296782,,
arm,technology,Q16980,,
arm,body part,Q43471,,
nfl,sports,,,
nba,sports,,,
football,sports,Q41323,handegg,
football,sports,Q2736,,
Molding,process,,,
Copilot,software,,,
copilot,profession,,,
solid js,software,,,
babel js,software,,,
react,software,,,
Virus,software,Q485,,
Virus,biology,Q808,,
Hodl,communication,Q46513625,of the crypto market than technical analysis indicators and price patterns for example glassnode's hodl wave indicator shows you how much of bitcoin's supply has moved over a given,
esp,hardware,,,
Prime,math,Q49008,times 19 so it's not always easy to spot whether a given number is prime for example how about the three numbers at the bottom of the screen i,
Prime,food,Q115113002,to do that brother you are just an energy drink each different flavor of prime has used one of my hearts to gain powerful new abilities oh that was,
Prime,service,Q4740856,,
Prime,condition,Q22909116,,
casio,company,,,
Baruto,sports,Q528974,,
Boruto,character,Q20426404,,
Halo,apparel,,,
halo,game,,,
gift card,item,,,
Gammora,medication,,,
gamora,character,Q2721152,,
Turkey,country,Q43,how is it possible I would say the answer is erdogan you see just recently turkey obtained more f-16s from the United States but those are quite old if we,
Turkey,animal,Q848706,see some you know if you stay 30 minutes in still not seeing a single turkey to shoot with a shotgun 400 yards that way that's a lot come,next to me it has a bunch of fields it just looks like perfect turkey habitat and the other side of the properties just doesn't seem quite right
Turkey,food,Q4200953,the last thing I ever want is my sandwich to fall apart sturdy ingredients like turkey and cheese I have a sturdier bread that will hold them up with lighter ingredients,just baste it over and we spread it along throughout the delicious and gorgeous turkey breast if it looks too dark in places before you go in chances are it
Boxoffice,location,,,
Boxoffice,metric,,,
Googol,math,,,
Fiber,food,,,
Fiber,telecom,,,
Fiber,material,,,
X,social media,,,
lead,chemical,Q708,,
lead,role,,,
lead,investigation,,,
Plaster,material,,,
Beserk,emotion,,,
Beserk,series,,,
Beserk,warrior,,,
Darwin award,award,Q369961,,
Adhd,condition,,,
Lsd,substance,Q23118,,
Lg hdtv,product,,,
Binary tree,computer science,,,
Heap,computer science,Q274089,,
Arch,software,,,
Debugging,computer science,,,
Drywall,material,,,
Harambe,animal,,,
Titan,hardware,,,
Titan,material,,,
Tesla,hardware,,,
Tesla model ,vehicle,,,
Tesla,company,,,
Tesla,inventor,,,
shepherd,profession,,,
Slime trackers,product,,,
Race,ethnicity,,,
Race,sport,,,
Couchdb ,software,,,
cockroachdb,software,,,
Fat man,military,Q188163,,
Monster,food,Q544293,,
Monster,creature,Q276453,,
Monster,series,,,
Tiefling,race,Q1130152,,
Skeletor,character,,,
Frosting,food,,,
Frosting,phenomenon,,,
Internet famous,description,,,
Lewis,driver,,going ferrari,
Volvo xc90,vehicle,,,
Rescue dog,animal,,,
Avalanche,disaster,,,
Kiwi ,animal,Q43642,,
Kiwi,food,Q163522;Q13194,,
Fortune 500,group,,,
Index fond,finance,,,
Windows,building,,,
Windows,software,,,
Jason statham,actor,,,
json,computer science,,,
Mcafee,software,,,
Mcafee,company,,,
Mcafee,restaurant,,,
Gouda,food,,,
Cheddar,food,,,
Khakis,clothing,,,
Neurolink,product,,,
Ingenuity ,Astronautics,Q48814715,,
Ingenuity,trait,Q19357667,,
Curiosity,Astronautics,Q48485,,
Curiosity,trait,Q366791,,
Cerberus,software,Q506053,,
Cerberus,creature,Q83496,,
Crispr,technology,,,
Crisp,food,,,
nft,asset,,,
torrent,motion,,,
torrent,software,,,
metal,genre,,,
metal,material,,,
tattoo,song,Q116908303,,
tattoo,art,Q72941682,,
Fairy Tail,song,,,
Fairy Tail,anime,,,
Boomer,group,,,
Pornhub,company,,,
Pornhub,website,,,
Belt,clothing,,,
Vietnam,country,,,
Pearl jam,event,,,
pearl,material,,,
jam,food,,,
Piccolo,instrument,Q83509,,
Piccolo,character,Q151659,,
Climate change,ecology,,,
Climate change controversy,conspiracy,,,
Sonic,process,,,
Sonic,character,,,
Recall,science,,,
Recall,ability,,,
Indians,group,Q862086,,
Indians,group,Q49297,US,
Sandbox,structure,,,
Sandbox,computer science,,,
Docker,software,,,
Dolphin,software,,,
Dolphin,animal,,,
Scalper,profession,,,
Scalper,profession,,,
Bob kelso,character,,,
Crack,substance,,,
Crack,process,,,
Dove,animal,,,
Dove,company,,,
godot,software,,,
egoist,description,,,
egoist,music,,,
trance,state,,,
trance,genre,,,
curse,affliction,,,
ado,singer,,,
filament,material,,,
lathe,tool,,,
volumetric display,technology,,,
demon core,item,Q1186448,,
space,astronomical,,,
space,description,,,
space,math,,,
phonk,genre,,,
corruption,moral,,,
npc,gaming,,,
elves,race,,,
toriko,character,,,
bankai,technique,,,
bandai,company,,,
akira,movie,,,
akira toriyama,author,,,
pitbull,animal,,,
pitbull,artist,,,
belbek,location,,airfield,
sevastopol,location,,crimea,
sochi,location,,,
f-18,aircraft,,,
t-54,military,,,
leopard,military,,,
leopard,animal,,,
orcs,creature,,,
avdiivka,location,,,
gerasimov,politics,,,
ash,character,,,
quest,gaming,,,
quake,gaming,,,
SSD,technology,,,
HDD,technology,,,
synthwave,genre,,,
frostpunk,genre,,,
kinzhal ,military,,,
apache,military,,identify as,
apache,group,,identify as,
portal,game,,,
portal,software,,,
rodent,animal,,,
pandas,software,Q15967387,,
pandas,animal,Q33602,,
onepiece,series,,,
onepiece,clothing,,,
parasite,movie,,,
parasite,animal,,,
gavin newsom,politics,,,
clip,machine learning,,,
clip,media,,,
clip,military,,,
gothic,art,,,
gothic,group,,,
pick up line,communication,,,
pick up,vehicle,,,
friends with benefits,relationship,,,
online dating,relationship,,,
dating,relationship,,,
dating,geology,,,
5 guys,restaurant,,,
atam,military,,,
mlrs,military,,,
stormshadow,military,,,
taurus,military,,,
javelin,military,Q1347944,,
s-400,military,,,
s-300,military,,,
abrams,military,,,
T-32,military,,,
T-90,military,Q192757,,
neptune,military,,,
bradley,military,,,
F-16,military,,,
F-35,military,,,
bayraktar,military,,,
sashee,military,,drone iranian,
challenger 1,military,,,
challenger 2,military,Q234676,,
iron dome,military,,,
iris ,military,,air defense,
patriot ,military,,air defense,
mig-32,military,,,
claymore,military,,,
nafo,group,Q113640505,,
democrats,politics,,,
republican,politics,,,
capitol,location,,,
sims 4,game,,,
remote working,employment,,,
triggered,emotion,,,
solpadeine,medication,,,
coping,psychology,,,
bdsm,hobby,,,
laika,animal,,,
swinger,hobby,,,
tinder,service,,,
audacity,software,,,
audacity,description,,,
uwu,communication,,,
absolute,food,,,
absolute territory,culture,Q196877,,
cubane,chemical,,,
smash,process,,,
smash,game,,,
panty and stockings,series,,,
stockings,clothing,,,
panty,clothing,,,
moonshine,food,,,
silicon valley bank,company,,,
bad dragon,product,Q21178582,,
poggers,communication,,,
fleshlight,product,,,
virgin oil,food,,,
visual novel,art,,,
humor,description,,,
dyson sphere,science-fiction,,,
dyson vacuum,device,,,
dyson,company,,,
nipple piercings,apparel,,,
seizure,affliction,Q6279182,,
seizure,legal,Q536118,,
ESPN,franchise,,,
fanbase,group,,,
laundry,item,,,
detergent,product,,,
rag,machine learning,Q121362277,,
rag,item,Q1567420,,
